Id,Def,IDword,,,
96,обир. В Южной России и на Украине в XVII–XVIII вв. – руководящая верхушка казачества,62,,,
97,"1. Достигший старости, проживший много лет.",63,,,
98,"2. Давно существующий, появившийся задолго до настоящего времени.",63,,,
99,"3. Давно сделанный, находящийся в употреблении и поэтому обветшавший. (1221)",63,,,
100,"4. Давно приготовленный, выдержанный (о напитках).",63,,,
101,"5. Давно прошедший, минувший (о времени)",63,,,
102,"6. Сделанный или употреблявшийся в старину, дошедший от давних, прежних времен; старинный",63,,,
103,"7. Такой, какой был прежде, предшествующий кому-л. или чему-л., имеющемуся теперь; прежний. (1209)",63,,,
104,"8. В знач.сущ. Старое, с. То, что было или как было прежде, в прошлом.",63,,,
105,"9. Перен. Взрослый, зрелый, мудрый",63,,,
106,обир. 1. Старые деревья.,64,,,
107,2. Старый лес.,64,,,
108,Лицо преклонного возраста,65,,,
109,"/i>1. Небольшой текст или раздел текста; заметка, записка",66,,,
110,2. Подраздел,66,,,
111,"Род пошлины, плата за запись в таможенных книгах",67,,,
112,"/i> Статейная грамота, статейный листъ – официальный документ с подробными распоряжениями относительно каких-л. дел",68,,,
113,"Достаточно, солидно (воспроизведение польск. stateczne)",69,,,
114,"Степенный, основательный (воспроизведение польск. stateczny)",70,,,
115,"1. Ступая, занять какое-л. место или принять какое-л. положение, стать; тж. образно",71,,,
116,"2. Остановиться, достигнув какого-л. места",71,,,
117,"3. Расположиться, остановиться где-л. (лагерем, на постой, жительство и т. п.).",71,,,
118,"4. Явиться, предстать; тж. перен",71,,,
119,5. Встать (на ноги),71,,,
120,"6. На кого. Подняться, ополчиться против кого-л. (1337)",71,,,
121,"7. Выступить против кого-, чего-л.; воспротивиться",71,,,
122,"8. За кого, что. Встать на защиту кого-, чего-л., заступиться за кого-, что-л. (1269)",71,,,
123,"9. В кого, на что и без доп. Занять какое-л. общественное положение, вступив в какой-л. сословный разряд, получив какую-л. должность, титул, сан. (1149)",71,,,
124,"10. Оказаться (в каком-л. состоянии, положении). (1239)",71,,,
125,"11. В сочетании с некоторыми существительными с предлогами означает: осуществить действие, названное этим существительным",71,,,
126,"12. Устоять, выстоять",71,,,
127,"13. Сохраниться, не исчезнуть",71,,,
128,14. Прекратиться,71,,,
129,"15. Возникнуть, появиться, создаться",71,,,
130,"16. Настать, наступить, начаться. (1134)",71,,,
131,"17. Произойти, случиться",71,,,
132,"18. Простереться, расположиться. (1071)",71,,,
133,19. Поместиться,71,,,
134,"20. Покрыться льдом, замерзнуть (о реках и озерах). (1161)",71,,,
135,"21. Установиться, образоваться (о зимнем пути, ледяном покрове). (1479)",71,,,
136,22. Простоять (о погоде). (1161),71,,,
137,23. Без чего. Остаться без чего-л.,71,,,
138,"24. Хватить, быть достаточным или иметься в достаточном количестве. (1551)",71,,,
139,"25. Кого с что, безл. Хватить на что-л. (о способности сделать что-л., исполнить какие-л. обязанности и т.п.)",71,,,
140,"26. Обойтись в какую-л. сумму, стоить",71,,,
141,"27. Получиться в сумме, итоге.",71,,,
142,28. Подтвердиться,71,,,
143,"29. Употребляется в составе сказуемого в значении: сделаться кем-, чем-л. или каким-л., прийти в какое-л. состояние. (1204)",71,,,
144,"30. С инф. Употребляется в составе глагольного сказуемого, указывая на начало действия.",71,,,
145,31. С инф. Употребляется как вспомогательный глагол для образования сложного будущего времени. ,71,,,
146,"32. Стало, в знач. вводного слова. Стало быть, значит",71,,,
147,"1. Положение, позиция, поза",72,,,
148,"2. Поднятие, воздвижение",72,,,
149,"3. Прибытие, явка (в суд).",72,,,
150,"4. Начало, зарождение; становление",72,,,
151,"5. Положение, состояние",72,,,
152,6. Фаза (луны). (1206),72,,,
153,"7. Часть псалтырного текста (разного объема), читаемая на богослужении.",72,,,
154, Солнечное статие – солнцестояние,72,,,
155,1. Название греческой монеты из золота или серебра, статир (ср. греч. στατήρ),73,,
156,2. Драгоценный камень (?),73,,,
157,3. Название книги нравоучительного содержания,73,,,
158,"1. Случиться, произойти, совершиться.",74,,,
159,"2. Оказаться, обнаружиться",74,,,
160,"3. Состояться; установиться, наладиться.",74,,,
161,"4. На кого. Подняться, восстать против кого-л",74,,,
162,Не статки (делать что-л.) – не годится (делать что-л.),76,,,
163,"Такой, который может произойти, случиться; вероятный, осуществимый",78,,,
164,Связанный с явкой в суд,79,,,
165,"Имеющий стройный стан; хорошо, пропорционально сложенный.",80,,,
166,"Относящийся к парламенту, членам парламента Северных Нидерландов",81,,,
167," 1. Имущество, нажитые ценности. ",82,,,
168,"2. Имущество, оставшееся после умершего, наследство",82,,,
169,Остаток. ,83,,,
170,"Имеющий достаток, зажиточный",84,,,
171,"Такой, который может произойти, случиться; возможный, осуществимый",85,,,
172,Оставшийся,86,,,
173,"Относящийся к Северным Нидерландам, их парламенту",87,,,
174,Уменьш.-уничиж. к статокъ статки (в знач. 1),88,,,
175,Уменьш.-уничиж. к статокъ статки,89,,,
176,"1. Название сословно-представительных учреждений в некоторых странах Западной Европы; члены этих учреждений, составляющие орган коллегиального управления",90,,,
177,2. Редко ед. Статъ,90,,,
178,"Образец, манера, лад",92,,,
179,"Усилительная частица, стоящая после инф. с отрицанием. ",93,,,
180,"/i> 1. Положение, установление регламентирующего характера, входящее как часть в сводный документ (уложение, указ, договор, устав и т.п.)",95,,,
181,"2. Обычно мн. Документ, официальная бумага",95,,,
182,"3. Положение, установление какого-л. религиозного учения.",95,,,
183,4. Раздел текста свободного содержания,95,,,
184,"5. Небольшой текст; запись, заметка",95,,,
185,"6. Запись или рубрика, раздел в хозяйственных книгах.",95,,,
186,"7. Разряд, степень (по происхождению, имущественному положению, квалификации и т. п.) внутри какой-л. категории лиц.",95,,,
187,"8.Часть множества, группа лиц вообще",95,,,
188,"9. Разряд, вид, сорт (по размеру, качеству и др. признакам) внутри группы однородных предметов.",95,,,
189,"10. Доля целого, составная часть чего-л",95,,,
190,"11. Раздел в церковной службе, часть текста, читаемого во время службы, а также раздел в церковном песнопении",95,,,
191,12. Определенное количество чего-л. (обычно о товаре),95,,,
192,"13. Способ, образ (действия)",95,,,
193,"14. Дело, предприятие",95,,,
194,"15. Факт, обстоятельство",95,,,
195,"16. Утверждение, высказывание",95,,,
196,"17. Этаж, ярус (в постройке).",95,,,
197,18. Название одного из знаков (знамен) древнерусской певческой нотации и соответствующего ему мелодического оборота.,95,,,
198,"à Большая статья. а) Самое большее, максимум.",95,,,
199,"Виноград, виноградные ягоды (ср. греч. σταφυλή)",96,,,
200,"обир. Виноград, виноградные ягоды (ср. греч. σταφυλή)",97,,,
201,Продовольственное или денежное обеспечение (ср. ст.-польск. stacja),98,,,
202,"Сшить, стачать",99,,,
203,Соединять (ср. польск. stoczyć),100,,,
204,Сговор,101,,,
205,"Место соединения двух полотнищ, двух деталей, шов",102,,,
206,к стачка&sup&1&sup&,103,,,
207,"1. Откуда. Таща, переместить, стащить вниз",104,,,
208,"2. Силой снять, сорвать, стянуть.",104,,,
209,"3. Таща, насильственно переместить куда-л",104,,,
210,1. Загон для скота, постройка для скота, тж. образно и перен.,105,
211,"2. Обитель, пристанище",105,,,
212,"3. Жилище зверя, логово",105,,,
213,"4. Галерея, крытый ход",105,,,
214,"5. Ложе, настил",105,,,
215,"Участок пахотного поля определенной величины (обычно ок. 1,4 га) (ср. ст.-польск. staja <",106,,,
216,Партия товара,107,,,
217,/i>1. Стояние (на молитве),108,,,
218,2. Загон для скота, стойло, конюшня. ,108,
219,"1. Стоять, становиться (где-л.).",109,,,
220,"2. Являться, представать, приходить",109,,,
221,"3. Подниматься, вырастать",109,,,
222,"4. Находиться, оставаться в каком-л. положении, состоянии",109,,,
223,5. С отриц. Переставать делать что-л., останавливаться,109,,
224,6. Не стаяти. Недоставать,109,,,
225,"Сойти, растаяв от тепла, от жара; стаять",110,,,
226,м. сотваряти (-ся),111,,,
227,"То, что сотворено; творение",112,,,
228,1. Затвердеть,113,,,
229,"2. Утвердиться, укрепиться",113,,,
230,"Утвердить, укрепить (ср. ст.-польск. stwierdzić)",114,,,
231,"Укрепиться, утвердиться (ср. ст.-польск",115,,,
232,"/i>1. Болиголов, цикута",116,,,
233,2. Основная часть огнестрельного оружия, ствол,116,,
234,"3. Взрыватель в виде металлической трубки, начиненной порохом",116,,,
235,4. Мочеиспускательный канал (?),116,,,
236,обир. 1.,117,,,
237,2. Сорняки,117,,,
238,/i>1. Стебель (растения),118,,,
239,2. Уменьш. к стволъ (в знач. 2),118,,,
240,"То же, что стволъ (в знач. 2)",119,,,
241,Стебель (травы),120,,,
242,"То же, что стволъ (в знач. 2)",121,,,
243,Относящийся к стволу (огнестрельного оружия),122,,,
244,"Мастер-оружейник, изготовляющий стволы",123,,,
245,Относящийся к стволу (огнестрельного оружия),124,,,
246,"То же, что створчатый",125,,,
247,"То же, что створчатый",127,,,
248,Складные иконы,128,,,
249,Состоящий из створок, имеющий створки,129,,
250,/i>1. Створки,130,,,
251,2. Складная икона, складень,130,,
252,"Рукоятка, черенок (ложки, ножа и др.)",131,,,
253,/i>Собир. 1.,132,,,
254,2. Солома,132,,,
255,3. Стерня,132,,,
256,/i>и ж. 1.,133,,,
257,"2. Рукоять, ручка, черенок (ложки, сковородки и другой посуды)",133,,,
258,/i>Точило стебленно – чан для выжимки винограда,134,,,
259,"Относящийся к стеблю, стволу растения",135,,,
260,"Стебель, ствол; отросток, ветвь; тж. перен.",137,,,
261,"2. Рукоять, ручка, черенок (у ложки, сковородки, чарки и т.п.)",137,,,
262,"&sup&2&sup&, с. Дикий кот, кошка",138,,,
263,"Кот, кошка",140,,,
264,Действие по глаг. стегати&sup&1&sup&,141,,,
265,"Стеганый; с прокладкой, прошитой насквозь с верхом и подкладкой крупными стежками",142,,,
266,"Прошивать насквозь верх, подкладку и прокладку изделия из ткани, стегать. ",143,,,
267,"Бить (кнутом, плетью)",144,,,
268,Площадь, улица, переулок,145,
269,к стегно,146,,,
270,"/i>1. Верхняя часть ноги, бедро, ляжка",147,,,
271,"2. Чресла, зд. перен. род, колено",147,,,
272,3. Передача греч.,147,,,
273,1. Ударить (плетью и т.п.),148,,,
274,"2. Пристегнуть, застегнуть",148,,,
275,"Стержень вращения; шип в гнезде, на котором вращается шарнир, дверная петля (ср. словен",149,,,
276,"/i>, [СТЕЖЕРЪ, м.] 1. Столб ипподрома (начальный или конечный, который огибался участниками конных состязаний)",150,,,
277,2. Мачта,150,,,
278,"Стежка, тропинка, дорожка",151,,,
279,"Стежка, тропинка, дорожка, тж. перен",152,,,
280,Стеганый.,153,,,
281,"Стежка, прошивание иглой нескольких слоев ткани с шерстью или с ватой",154,,,
282,"Тропинка, дорожка",156,,,
283,"Название попевки, устойчивой мелодической формулы",157,,,
284,"/i>1. Путь, стезя; тж. образно и перен.",158,,,
285,2. Название сочетания знаков (знамен) древнерусской певческой (столповой) нотации и соответствующего этому сочетанию мелодического оборота (попевки).,158,,,
286,/i>1. Действие по глаг. стѣкати,159,,,
287,2. Действие по глаг. стѣкатися (в знач. 1),159,,,
288,"Стекать, течь, перетекать откуда-л. куда-л.",160,,,
289,"1. Собираться, сходиться.",161,,,
290,2. Сливаться в один поток (о реках). ,161,,,
291,"3. Стекаться, скапливаться в каком-л. месте (о воде)",161,,,
292,"Мастер, изготовляющий стекло и изделия из стекла; стеклодув.",162,,,
293,/i>1. Стекло,163,,,
294,2. Мн. Очки,163,,,
295,3. Кристалл,163,,,
296,4. Стеклянный сосуд,163,,,
297,Стеклянный сосуд,164,,,
298,"/i> 1. Чаша, кубок (из стекла или прозрачного камня)",165,,,
299,2. О стаканчике лампады,165,,,
300,3. Флакон (зд. образно). ,165,,,
301,4. Бутылка,165,,,
302,"5. Банка, используемая в медицине. (1490)",165,,,
303,1. Связанный с изготовлением стеклянных изделий.,166,,,
304,2. Изготовляющий стеклянные изделия,166,,,
305,3. Сделанный из стекла,166,,,
306,"Стеклянная бутылка, флакон.",167,,,
307,1. Сделанный из стекла или прозрачного камня (хрусталя),168,,,
308,2. Связанный с производством стекла и стеклянных изделий,168,,,
309,"/i> Мастер, изготовляющий стекло и изделия из стекла; стеклодув.",169,,,
310,Стеклярус,170,,,
311,"Мастер, изготовляющий стекло и изделия из стекла",171,,,
312,Сделанный из стекла или имеющий стекла,172,,,
313,ж. 1. Стелька.,173,,,
314,"2. Настилка, покрышка",173,,,
315,ж. Беременная (корова).,175,,,
316,"Кровля, потолок",176,,,
317,Императорский венец – символ монаршей власти (ср. греч.,178,,,
318,"Форштевень, носовой стояк на морском или речном судне.",179,,,
319,"1. Высокая ограда (преимущественно из камня, кирпича) тж. образно и перен.; вертикальная плоскость, ограничивающая объем здания, помещения, сооружения",180,,,
320,"2. Вертикальная часть строения, служащая для поддержания крыши и перекрытий, а также для разделения внутренних помещений",180,,,
321,"3. Вертикальная боковая поверхность скалистой горы, круча, обрыв",180,,,
322,"4. Скала, большой камень (ср. сербохорв. стéна)",180,,,
323,"5. Неопределенная мера пряжи, зависящая от длины стены избы, в которой она прялась",180,,,
324,"6. Тесный сомкнутый ряд или сплошная масса чего-л., образующая преграду, завесу",180,,,
325,à В четырехъ стѣнахъ – в закрытом помещении,180,,,
326,"Стенание, стон",181,,,
327,"Стенать, сетовать; стонать, вздыхать",182,,,
328,"Укрепленный, огражденный стенами",183,,,
329,"Очертание, контур",184,,,
330,Очерчивать контур, зд.: описывать в общих чертах,185,,
331,"С толстыми стенками, прочный (?)",186,,,
332,"Перегородка, перепонка",187,,,
333,Клоп (ср. сербохорв.,188,,,
334,Уменьш. к стѣна,189,,,
335,"Тот, кто строит стены, строитель",190,,,
336,"/i>Обѣстраньный стѣнникъ – тот, кто отбрасывает тень на обе стороны: на север и на юг",191,,,
337,"1. Скалистый, обрывистый",192,,,
338,"2. Относящийся к стенам, укреплениям",192,,,
339,"3. Пригодный для строительства стен, укреплений",192,,,
340,"4. Стенной, настенный",192,,,
341,5. Относящийся к расписыванию стен (преимущ. церковных),192,,,
342,"1. Находящийся в тени, затененный",193,,,
343,"2. Смутный, темный",193,,,
344,"3. Относящийся к болезни глаз, проявляющейся в ночной слепоте",193,,,
345,/i>Сосуди стѣнобиица (-ци?) – стенобитные орудия,195,,,
346,Способный сокрушить стены крепости, тж. перен,196,,
347,Разбивание крепостных стен,197,,,
348,"Предназначенный для разбивания крепостных стен, стенобитный. (1552)",198,,,
349,"Разбивание, разрушение крепостных стен",199,,,
350,"То же, что стѣнобитный",200,,,
351,Изображать,201,,,
352,Относящийся к стене,202,,,
353,Предназначенный для стен,203,,,
354,Предназначенный для разрушения стен,204,,,
355,Предназначенный для разрушения стен. ,205,,,
356,"Тот, кто делает подкоп под стену",206,,,
357,"Обнесенный стенами, укрепленный",207,,,
358,Название одной из гадательных книг,208,,,
359,"Мастер, сооружающий стены. (1496)",209,,,
360,"ли ж. Поясница, чресла",210,,,
361," 1. Тень, отбрасываемая предметом или человеком",211,,,
362,2. О Ветхом Завете как прообразе Нового Завета,211,,,
363,"3. Блик, отблеск света",211,,,
364,"4. Видение, призрак; тень умершего",211,,,
365,5. О болезни глаз. ,211,,,
366,"6. Отражение, силуэт",211,,,
367,Тень,213,,,
368,"То же, что стенати",214,,,
369,"Обширное безлесное, ровное пространство; степь",215,,,
370,Передача лат. (мн.),216,,,
371,Постепенно,217,,,
372," То же, что",218,,,
373,"1. Основание; постамент, возвышение со ступенями; подножие; тж. перен",219,,,
374,"2. То же, что",219,,,
375,1. Основательный,220,,,
376,2. Находящийся на возвышении,220,,,
377,"3. Относящийся к ступеням, к лестнице",220,,,
378,4. Исполняющий свои обязанности в настоящее время (в отличие от ,220,,,
379,"5. Относящийся к тому или иному разряду, рангу",220,,,
380,"à Книга степенная – русское историческое сочинение втор. пол. XVI века, опыт систематического изложения русской истории с древнейших времен до царя Ивана IV Грозного по княжениям отдельных правителей",220,,,
381,"Степенское мѣсто – возвышение со ступенями за престолом, где восседает епископ и пресвитеры при чтении Апостола и Евангелия",221,,,
382,/i> и (позднее) ж. 1.,222,,,
383,"2. Жертвенник, алтарь (расположенный на специальном возвышении)",222,,,
384,"3. Престол, кафедра",222,,,
385,"4. Основание, опора; тж. перен.",222,,,
386,5. Ступень (лестницы),222,,,
387,"6. Степень, иерархический ранг",222,,,
388,7. След,222,,,
389,"8. Мера, соотносимая с размером ступни человека; фут (от 11 до 12 дюймов, т. е. 27–30 см)",222,,,
390,"9. Колено, степень удаления от родоначальника. (1241)",222,,,
391,10. Градус,222,,,
392,11. Порядок следования. (1460),222,,,
393,12. Начало, отправная точка,222,,
394,13. Степень сравнения (грамматический термин).,222,,,
395,14. Ступень музыкального звукоряда,222,,,
396,"15. Стихотворный размер, стопа",222,,,
397,Ступенька,223,,,
398,"То же, что стебло&sup&1&sup&",224,,,
399,"То же, что стебло&sup&2&sup&",225,,,
400,"1. Степной, безлесный",226,,,
401,2. Расположенный в степной полосе,226,,,
402,"3. Совершаемый в степи, на степной территории",226,,,
403,"4. Живущий в степи, в пустыне; кочующий по степи; промышляющий в степи",226,,,
404,"Степной, изобилующий степными, открытыми участками",227,,,
405,Небольшое ровное безлесное пространство,229,,,
406,"1. Обширное безлесное, ровное пространство; степь",230,,,
407,2. Пустыня,230,,,
408,Позвонок,231,,,
409,"Крепкий, здоровый",232,,,
410,Человек зрелого возраста, мужчина,233,,
411,"Становиться здоровым, крепким",234,,,
412,"То же, что стерво",235,,,
413,"Медведь, питающийся падалью",236,,,
414,"в знач.сущ. с. Хищность, плотоядность",237,,,
415,"Труп, мертвое тело (человека или животного)",238,,,
416,"Употребляющий в пищу мертвечину, падаль",239,,,
417,"ли ж. Труп, мертвое тело человека или животного",240,,,
418,"1. Охранять, стеречь",241,,,
419,"2. Соблюдать, блюсти (договор)",241,,,
420,1. Нести сторожевую службу. 9,242,,,
421,"2. Прятать, скрывать",242,,,
422,"Охрана, наблюдение за порядком",243,,,
423,1. Стоять на страже, нести караульную службу,245,,
424,2. Охранять. (1259),245,,,
425,"3. Соблюдать, блюсти",245,,,
426,"4. Подстерегать, подкарауливать. (1284)",245,,,
427,"Беречься, остерегаться. (1376)",246,,,
428,"Серединная часть растения, стержень, сердцевина",247,,,
429,"1. Самое глубокое и быстрое течение реки; фарватер, стрежень",248,,,
430,2. Осевая и опорная часть предмета,248,,,
431,"3. Осевая, серединная часть растения",248,,,
432,"4. Твердая основа в середине нарыва, чирья. (1533)",248,,,
433,Срывать,249,,,
434,Аист,250,,,
435,"Относящийся к аисту, аистам",251,,,
436,Стерлядь,254,,,
437,Вм. стлязь. (964),255,,,
438,Мясо стерляди,256,,,
439,Мелкая стерлядь,257,,,
440, Рыба стерлядь,258,,,
441,Стерляжий,259,,,
442,Мясо стерляди,260,,,
443,"Цистерна, колодец",261,,,
444,Стерня,262,,,
445,"Стерня, жнивье",263,,,
446,"Стерня, жнивье (ср. польск. ściernisko)",264,,,
447,"Испытывать, выдерживать",265,,,
448,"1. Снести, вынести, перенести",266,,,
449,"2. Выдержать, устоять. (996)",266,,,
450,"3. Отнестись (относиться) снисходительно, простить (прощать) кого- или что-л",266,,,
451,"Безл. О формировании спокойного, ровного отношения к кому-, чему-л. в результате длительного терпения.",267,,,
452,"То же, что стерпливый",268,,,
453,Терпеливый,269,,,
454,1. Тереть (одно о другое). ,270,,,
455,2. Что с чем. Растерев смешать,270,,,
456,"3. Стереть, изгладить",270,,,
457,4. Сокрушить, разрушить,270,,
458,5. Разбить (в бою),270,,,
459,"6. Раздавить, раздробить",270,,,
460,"7. Смирить, привести в состояние покаяния",270,,,
461,Вм. истерти. ,271,,,
462,"1. Истончиться, изорваться; обветшать",272,,,
463,"2. Разрушиться, быть сокрушенным",272,,,
464,"3. Разбиться, разрушиться, сломаться",272,,,
465,"4. Быть раздавленным, растоптанным",272,,,
466,5. Быть разгромленным, потерпеть поражение.,272,,
467,"6. Потратиться, понести убытки (?)",272,,,
468,7. Передача лат,272,,,
469,Одежная щетка,273,,,
470,Белый журавль,274,,,
471,– В сост. личн. имени,275,,,
472,притяж к стеркъ,276,,,
473,"Поведение человека, подобное поведению аиста (заботящегося о своих родителях)",277,,,
474,"Убирать, уничтожать тесанием",278,,,
475,"Тесанием снять, удалить",279,,,
476,"Томить, подавлять",280,,,
477,"1. Стесненные обстоятельства, утеснение; обиды, беды. (1477)",281,,,
478,"2. Сгущение, скопление.",281,,,
479,"1. Сжать, стиснуть, соединив края",282,,,
480,"2. Стеснить, ограничить свободу в чем-л",282,,,
481,"1. Стесниться, столпиться; собраться. (977)",283,,,
482,2. Стать тесным,283,,,
483,1. Теснить, тесно окружать,284,,
484,"2. Притеснять, утеснять",284,,,
485,"3. Уплотнять, сковывать",284,,,
486,"1. Сжиматься, сокращаться; тж. перен",285,,,
487,"2. Становиться уже, теснее",285,,,
488,3. Теснить друг друга.,285,,,
489,"Убирать, уничтожать тесанием",286,,,
490,"Избить, повредить (ударами)",287,,,
491,Зд. Испытать неприятные ощущения от чего-л,288,,,
492,"1. Скопление в одном месте (людей, предметов)",289,,,
493,"2. Соединение, слияние",289,,,
494,Стечь. (1146),290,,,
495,"1. Собраться, сойтись",291,,,
496,2. Слиться (о реках),291,,,
497,"3. Сблизиться, сойтись в схватке. (1261)",291,,,
498,4. Соединиться,291,,,
499,5. Быть в согласии с чем-л,291,,,
500,Быть залитым,292,,,
501,"1. Вм. сстигнути, сстичи",295,,,
502,2. Достигать чего-л. (?),295,,,
503,"Сходиться, собираться.",296,,,
504,Отсекать. (1111),297,,,
505,Соединяться, сгущаться,298,,
506,Квасцы (ср. греч,299,,,
507,Квасцы (ср. лат. stypticum из греч,300,,,
508, см. стырь,301,,,
509,"Стирание, удаление",302,,,
510,"1. Стирать, вытирая удалять (с поверхности)",303,,,
511,2. Перен. Стачивать,303,,,
512,"3. Размельчать трением, истирать",303,,,
513,"4. Мучить, терзать",303,,,
514,"5. Уничтожать, сокрушать",303,,,
515,6. Раздроблять, давить,303,,
516,7. Передача греч,303,,,
